player,rating,time_control
PlaySafeTradeQueens,2186,blitz
edwinabucay,2212,blitz
Jaime_bravo,1953,blitz
Jesscalimag,1930,blitz
FayEFish,2993,blitz
TacticalBot,2978,blitz
Mefisto217,1688,blitz
dralinma,1696,blitz
EstrategiaMagistral,1679,blitz
moisesjsc123,1664,blitz
hot_yoghurt,1637,blitz
Ankrav21,1663,blitz
KaleabChess,1623,blitz
das1320,1619,blitz
ewen34,1598,blitz
c-a-i-i-e-k,1600,blitz
Mostafa_Taha1972,1554,blitz
bsampietro,1572,blitz
knightmare2025,1487,blitz
vbarajasn,1500,blitz
castrovsky,1486,blitz
dakert111,1487,blitz
Solrak2022,1448,blitz
Lopicno,1446,blitz
katovik,1422,blitz
ClassyChester,1438,blitz
Fyrvaktarn,1415,blitz
Ronnieweasley,1403,blitz
Bluesdad,1391,blitz
Paolooo,1385,blitz
NoheaA,1363,blitz
marcopation,1337,blitz
brodage,1335,blitz
igrok112,1325,blitz
Hazor7,1282,blitz
movieles,1241,blitz
sleepydan69,1111,blitz
kcatsoo,1240,blitz
Leojosuetoledo,990,blitz
pergamino8,1098,blitz
SoiAjo,1023,blitz
cristhiancachicatari,1143,blitz
U2300,2044,blitz
Edwin2108,901,blitz
XadrezDinelly,2170,blitz
BIELzin_finin,2057,blitz
Gualter_Xpga,1968,blitz
borsi79,1960,blitz
lindo987,1602,blitz
rolandobrazil,1839,blitz
Sokol20,1691,blitz
iz63,1659,blitz
amine-dz,2142,blitz
Awildanzieri1,2235,blitz
luivar123,1724,blitz
ASKCHESS,2209,blitz
Yeto1403,1408,blitz
Sartascn,1403,blitz
ElAlfilDistraido,1825,blitz
Morfischer,1896,blitz
Pakapawa708,1964,blitz
Andrei-Z21,1964,blitz
davesalva007,1888,blitz
mr_dd_41,1853,blitz
josephpalacio,1775,blitz
CesGensLaII,1786,blitz
GambitoHulk,1798,blitz
lazarus_4563,1807,blitz
denhviteridderen,1984,blitz
kar4mba,1962,blitz
CARIBEDELITORAL82,1277,blitz
mrFokker,1403,blitz
TheParmak,1772,blitz
cowboarches37,1772,blitz
RobEisler,2087,blitz
DisconnectedPlayer,2165,blitz
AAATMO,1657,blitz
Angelehnt,1660,blitz
sologica1,910,blitz
sgalzin,778,blitz
Franciscoblanquin,1321,blitz
Oswaldoblanquin,1222,blitz
ggdgdg,1999,blitz
Spartako,2022,blitz
X3_Ita_PY,1961,blitz
trend19,1950,blitz
Alex_qqq,1471,blitz
capa_1921,1519,blitz
AshkanTA,1302,blitz
lolokek,1285,blitz
Markobe24,933,blitz
Ned007,789,blitz
Gandalf_il_b_o_il_n,1308,blitz
David05052009,1323,blitz
turrodan,1705,blitz
gonza-24,1640,blitz
Kamilica7,1929,blitz
Savagechri,1917,blitz
EMILIOSQ,996,blitz
Alfgud,1035,blitz
RobBobKabob,1253,blitz
lord1k66,1226,blitz
austinaldujaili,2190,blitz
Stanisla79,2208,blitz
armanmehr,1812,blitz
freddy2015,1780,blitz
verganyc,1418,blitz
ujra2025,1464,blitz
NOEUDGORDIEN,1815,blitz
