white,black,result,label,num_moves,checks,captures,avg_legal_moves,check_ratio,capture_ratio
simpleEval,SomeGoBot,1-0,Human vs Engine (mixed),111,6,17,33.072072072072075,0.05405405405405406,0.15315315315315314
Robotelias,DenisAdrianov,0-1,Human vs Engine (mixed),62,1,19,36.193548387096776,0.016129032258064516,0.3064516129032258
jimbothigpen,Menadas,1-0,Human vs Engine (mixed),69,3,23,29.565217391304348,0.043478260869565216,0.3333333333333333
tomahawkBOT,strain-on-veins,0-1,Human vs Engine (mixed),94,4,22,30.46808510638298,0.0425531914893617,0.23404255319148937
Meltd0wn,WolfuhfuhBot,1-0,Human vs Engine (mixed),59,2,20,36.83050847457627,0.03389830508474576,0.3389830508474576
AlexandrSai,UnRestrictedFire,1-0,Human vs Engine (mixed),131,23,21,26.34351145038168,0.17557251908396945,0.16030534351145037
Chessislove123,botanicalfanaticism,1-0,Human vs Engine (mixed),39,0,7,36.87179487179487,0.0,0.1794871794871795
jkywong,ivan_bembot,0-1,Human vs Engine (mixed),62,5,18,30.161290322580644,0.08064516129032258,0.2903225806451613
sergio012,Odinfire2,1-0,Human vs Engine (mixed),119,15,27,23.638655462184875,0.12605042016806722,0.226890756302521
superengine,ajed1_chess,0-1,Human vs Engine (mixed),36,1,11,28.916666666666668,0.027777777777777776,0.3055555555555556
ChannChonNegro,Robot000,1-0,Human vs Engine (mixed),95,6,23,27.11578947368421,0.06315789473684211,0.24210526315789474
PatriciaBot,ArasanX,0-1,Human vs Engine (mixed),130,7,25,27.1,0.05384615384615385,0.19230769230769232
Jack-Soo,Lynx_BOT,0-1,Human vs Engine (mixed),46,5,13,32.608695652173914,0.10869565217391304,0.2826086956521739
Dragonvolador,HowIwonStockfish,1-0,Human vs Engine (mixed),115,8,21,32.97391304347826,0.06956521739130435,0.1826086956521739
cbishop,BBENBOT,1-0,Human vs Engine (mixed),43,1,12,30.6046511627907,0.023255813953488372,0.27906976744186046
miguelaperezbottaro,imanttttt,0-1,Human vs Engine (mixed),58,1,17,32.13793103448276,0.017241379310344827,0.29310344827586204
Secretismo,fire_de,0-1,Human vs Engine (mixed),50,4,16,27.88,0.08,0.32
Andremerengues01,GameEngine,0-1,Human vs Engine (mixed),14,1,1,27.571428571428573,0.07142857142857142,0.07142857142857142
Lynx_BOT,Jack-Soo,1-0,Human vs Engine (mixed),33,0,11,31.515151515151516,0.0,0.3333333333333333
OmbleCavalierPP,mochi_bot,1-0,Human vs Engine (mixed),61,4,14,36.16393442622951,0.06557377049180328,0.22950819672131148
botanicalfanaticism,Evgeny_Sudakov,1-0,Human vs Engine (mixed),59,2,16,33.11864406779661,0.03389830508474576,0.2711864406779661
stockfish00002,Libra_2541,1-0,Human vs Engine (mixed),53,2,15,34.41509433962264,0.03773584905660377,0.2830188679245283
BerkBot,NexaStrat,1-0,Human vs Engine (mixed),81,8,24,23.62962962962963,0.09876543209876543,0.2962962962962963
RavenEngine,OliThink-5,0-1,Human vs Engine (mixed),146,13,27,26.643835616438356,0.08904109589041095,0.18493150684931506
AlinoPatco,HolyGhostFire,1-0,Human vs Engine (mixed),62,5,10,27.048387096774192,0.08064516129032258,0.16129032258064516
adarshMe,ElBotitas,0-1,Human vs Engine (mixed),78,6,12,30.28205128205128,0.07692307692307693,0.15384615384615385
jokobot,DrThokumis,0-1,Human vs Engine (mixed),56,3,12,32.589285714285715,0.05357142857142857,0.21428571428571427
Omulb,FutureBot,0-1,Human vs Engine (mixed),32,0,8,36.8125,0.0,0.25
KnightFallBot,GNUPassant,1-0,Human vs Engine (mixed),77,7,19,34.45454545454545,0.09090909090909091,0.24675324675324675
Jack-Soo,Lynx_BOT,0-1,Human vs Engine (mixed),32,0,5,34.875,0.0,0.15625
awsy2013hellfire,Rocki95,1-0,Human vs Engine (mixed),53,3,10,31.056603773584907,0.05660377358490566,0.18867924528301888
comebebotes,checkyoself22,1-0,Human vs Engine (mixed),55,3,14,34.472727272727276,0.05454545454545454,0.2545454545454545
obfuscator7,robotkarel,1-0,Human vs Engine (mixed),77,10,23,25.07792207792208,0.12987012987012986,0.2987012987012987
ivan_bembot,Mehrfar19,1-0,Human vs Engine (mixed),69,4,17,30.753623188405797,0.057971014492753624,0.2463768115942029
InuraWolf,GameEngine,0-1,Human vs Engine (mixed),58,2,22,28.517241379310345,0.034482758620689655,0.3793103448275862
Larrycot,superengine,0-1,Human vs Engine (mixed),128,8,25,22.125,0.0625,0.1953125
rakmane_76,StockfishSandwich2,1-0,Human vs Engine (mixed),79,8,18,33.40506329113924,0.10126582278481013,0.22784810126582278
schnecken_bot,mautlier,0-1,Human vs Engine (mixed),68,9,18,27.88235294117647,0.1323529411764706,0.2647058823529412
MVZ_11,Fire_exe432,1-0,Human vs Engine (mixed),81,4,20,29.08641975308642,0.04938271604938271,0.24691358024691357
Caio_Machovsky,awsy2013hellfire,0-1,Human vs Engine (mixed),48,1,12,36.270833333333336,0.020833333333333332,0.25
CoachedByABot,riomwp,0-1,Human vs Engine (mixed),58,4,16,34.96551724137931,0.06896551724137931,0.27586206896551724
GameEngine,hawater1,1-0,Human vs Engine (mixed),23,0,3,35.34782608695652,0.0,0.13043478260869565
untrained4406,joshsbot,1-0,Human vs Engine (mixed),75,8,20,33.986666666666665,0.10666666666666667,0.26666666666666666
Ferufire,Frfshawy,0-1,Human vs Engine (mixed),30,2,9,35.7,0.06666666666666667,0.3
botica60,Istho1110,0-1,Human vs Engine (mixed),128,1,29,27.0,0.0078125,0.2265625
likeawizard-bot,Boosted_Maia_1900,0-1,Human vs Engine (mixed),122,15,25,28.729508196721312,0.12295081967213115,0.20491803278688525
OmbleCavalierPP,AconcaguaBot,1-0,Human vs Engine (mixed),99,17,20,31.141414141414142,0.1717171717171717,0.20202020202020202
Lynx_BOT,GNUPassant,1-0,Human vs Engine (mixed),113,6,24,30.654867256637168,0.05309734513274336,0.21238938053097345
Bennett222,ivan_bembot,1-0,Human vs Engine (mixed),69,6,15,32.289855072463766,0.08695652173913043,0.21739130434782608
dmitryuchkin,GameEngine,1-0,Human vs Engine (mixed),63,2,9,29.6984126984127,0.031746031746031744,0.14285714285714285
buzzerbot3,KenyattaLeeBettis,1-0,Human vs Engine (mixed),54,2,12,34.94444444444444,0.037037037037037035,0.2222222222222222
Osama4188,UnRestrictedFire,0-1,Human vs Engine (mixed),100,3,28,31.4,0.03,0.28
osoaudaz,awsy2013hellfire,0-1,Human vs Engine (mixed),110,11,28,23.354545454545455,0.1,0.2545454545454545
nitsugan,Bots85,0-1,Human vs Engine (mixed),58,0,14,34.01724137931034,0.0,0.2413793103448276
Lorbascon,Ferufire,1-0,Human vs Engine (mixed),57,0,9,36.24561403508772,0.0,0.15789473684210525
Fireland_AZE,Tinocapo,0-1,Human vs Engine (mixed),104,5,21,31.91346153846154,0.04807692307692308,0.20192307692307693
olgu22,Firezone,1-0,Human vs Engine (mixed),49,1,9,37.0,0.02040816326530612,0.1836734693877551
Slickbulbul,Boterotero,1-0,Human vs Engine (mixed),36,4,10,28.63888888888889,0.1111111111111111,0.2777777777777778
robotkarel,chessmissus,1-0,Human vs Engine (mixed),29,0,9,34.10344827586207,0.0,0.3103448275862069
