player,rating,time_control
Duchampp,1849,classical
X-T-C,1961,classical
Balaprabhamurugan,1560,classical
Madhavkpatel,1892,classical
YugRPatel,1113,classical
edible25,1541,classical
h1349,1695,classical
hesam1355,1741,classical
Nakshatra_2016,1602,classical
Redowl71,1274,classical
Kashta032021,1181,classical
Zetetic911,1640,classical
leechou,782,classical
Mihail2020,1924,classical
hesblath,1630,classical
Grandpathesniper,1544,classical
Arman57,1731,classical
Zak_real,1500,classical
QXK_2DAY,1576,classical
dfhgjkhgt,1632,classical
padmini123,1623,classical
o96iq,1687,classical
lrb1982,1718,classical
minino002,1605,classical
Aa-Known2,2242,classical
Vlxdi7,1796,classical
Acerb8,1610,classical
arco33artur,1366,classical
RoboRaven,1254,classical
DanyBoy7418,1317,classical
karthi11,1639,classical
pawn9i,1597,classical
kishorekumar2011,1575,classical
shatrangj,1082,classical
HorseyTightlips,1489,classical
KKeya1217,1469,classical
wycoff,1187,classical
Gambit2876,1096,classical
slvrdoc,1517,classical
Vladimir_Rudolfovich,1685,classical
Batilovick,1823,classical
YorkshireBadger,1780,classical
taotau,1801,classical
other_training,1744,classical
Enani05,1990,classical
jeffblueheeler,1200,classical
titas_1972,1635,classical
neoNVoid,1646,classical
KawaiiKame0,1530,classical
Eric_a_123,1310,classical
silvanassuarez,1632,classical
V0ldemort,1098,classical
badma2009,1147,classical
D4_Kira,1742,classical
Janav_22,1730,classical
NahuelRene,1732,classical
flash619ca,1729,classical
Narducc,1442,classical
Nirmalm1,1886,classical
CristianBonilla,1200,classical
ecdn1978,1419,classical
alexkoj,1779,classical
kyriakos1301,1786,classical
goldenfox1961,1637,classical
qamarmubashir,1611,classical
cosmic_glitch,1906,classical
Pipok007,1811,classical
mcpowerhouse,1536,classical
tmwoo,1500,classical
rmt186300,1553,classical
suhaas4814w,1594,classical
deskgr87,1287,classical
KenConaryPoetracahya,1500,classical
vijayl,1844,classical
HerzogVonPitzbuehl,1356,classical
sahana16,1242,classical
SpiffyApe,1500,classical
Docbi2013,1300,classical
mntrejos,1500,classical
DrLegolas,1500,classical
steven-jimenez,1500,classical
ramramcr,1500,classical
Fish_free,1745,classical
Ferdy100,1839,classical
SamuelIcaza,1592,classical
amrovic,2034,classical
sevilen2022,1888,classical
kev420w,1500,classical
Mahiru_chan,1617,classical
JLLD123,1450,classical
Elias016,1413,classical
m7606319e,1400,classical
Ediaraujo,1384,classical
Asadel_N2014,2412,classical
Sidik_sancoko,1887,classical
deazar,1500,classical
Inghector,1703,classical
sonicthebigblu,1441,classical
ygyf,1426,classical
leberkeks,1680,classical
artemterskikh,1720,classical
epablog,1599,classical
cytnes,1330,classical
ditokornvosta,1360,classical
Krithikaram1,1464,classical
GregnLA,1530,classical
gamerblaze7639,1535,classical
talofengland,1776,classical
Susanna2019,1500,classical
Juneruu,1601,classical
JoshuaDonseng,1500,classical
Sarapulov,1348,classical
shakthichess,1385,classical
georgeorosz,1636,classical
qweioprty,1620,classical
cogh8,1638,classical
Mo_tefa,1896,classical
CristianoRonaldo_58,1796,classical
HectorCisneros46,1287,classical
jodie7,1353,classical
TheTamer,1332,classical
NaveedAhmed,2025,classical
Fredrickrohan,1357,classical
deepmike1955,1177,classical
piesnbeers,1488,classical
RanulyaWK,1159,classical
xX_TheMagentaRay_Xx,1146,classical
eliecerf,1903,classical
laozhang,1959,classical
pakulai,1515,classical
nicolaskin,1323,classical
Naanoo_Naa,1892,classical
Fyxiao51,1922,classical
Chessclown321,1928,classical
elip4r,1879,classical
ericamaaemferrer,1151,classical
Aaravtoshniwal29,1050,classical
kalimeroooo,1967,classical
V-Guptachess,1100,classical
Vmt_dee,1727,classical
aarna_shah250915,1496,classical
jhonduquehoy,1459,classical
XB_Alekcei-73,1622,classical
mblade123,1387,classical
knight_span,1950,classical
REDCAT29,1858,classical
Rickbear85,1578,classical
DirectCamel,1551,classical
mihirs1234,1536,classical
Keshavrao,1371,classical
MakoteR,1594,classical
Sobol2011,1770,classical
sartarionchik,1378,classical
A1ien,2026,classical
amedvedev50,1443,classical
DarkKnight0202,2007,classical
A5ofi_y_Samu,1715,classical
B85134,1165,classical
Eckat0100,1579,classical
Saty23,1611,classical
Buzzaka,1382,classical
R37urn_Z3r0,1702,classical
swamp_trash,1628,classical
mgoulaer,1222,classical
Fearless_King7,1227,classical
Crisorestes,1416,classical
xXx_Roma_xXx,1348,classical
TheNell,1714,classical
Colapinto,1699,classical
Pr0fessorX,1797,classical
RomanSPb1969,1465,classical
waradmiral,1519,classical
marrob,1584,classical
vedadmofrad,1806,classical
LiminalSpaces,1827,classical
NOELSANO1984,1142,classical
prasannashankar2015,1784,classical
victorgabino,2134,classical
The_Catalanisator,2061,classical
ShiroMori88,1122,classical
NitinPudasaini,1616,classical
davrn1,1723,classical
ho1531az,1700,classical
vinospov,1332,classical
gmmono,1941,classical
jdidiah,1339,classical
VagantesTM,1500,classical
Eltshan,1414,classical
Alex5282,1756,classical
Maddi74,1614,classical
NLinivenko,1492,classical
Gledson06,1474,classical
oldgreymare,1404,classical
Con4caballos,1764,classical
soy_un_martillo,1808,classical
ElvisGT,1516,classical
Nigma322,1261,classical
Micky9,1625,classical
Jcuriel10,1500,classical
halcon2016yag,1186,classical
messitetracampeon,1889,classical
Zilhotti,1513,classical
itenerant57,1575,classical
coolchesscat1,1683,classical
ronisubagyo,1779,classical
juninhohair,1645,classical
Blackchess1,1592,classical
Boydcarts,1415,classical
JaydenK2013,1964,classical
Top_Ramana,2021,classical
Alton123,1500,classical
Sultani7,1500,classical
olarsh,1817,classical
ironface_06,1500,classical
